Date,Open,High,Low,Close,Volume
2017-03-07,139.04818,139.97051,138.77865,139.51988,16687408
2017-03-08,138.93447,139.80205,138.80813,138.98922,17970050
2017-03-09,138.7239,138.77865,137.05613,138.66915,20614720
2017-03-10,139.25034,139.34299,138.62703,139.13241,18488216
2017-03-13,139.15768,139.42722,138.80813,139.1998,17421715
2017-03-14,139.30088,139.65886,138.82076,138.97659,15309064
2017-03-15,139.41038,140.75807,139.00607,140.47168,25691777
2017-03-16,140.72438,141.01918,140.26111,140.6949,19231999
2017-03-17,141.00234,141.00234,139.88628,139.98315,37940512
2017-03-20,140.41272,141.49509,140.23163,141.46561,21542039
2017-03-21,142.12682,142.79224,139.74309,139.84417,39529912
2017-03-22,139.84417,141.59195,139.77257,141.42349,25860165
2017-03-23,141.26345,141.56668,140.6233,140.91811,20346303
2017-03-24,141.49509,141.73515,140.35797,140.65278,21420936
2017-03-27,139.38511,141.22134,138.61018,140.87599,22219586
2017-03-28,140.90547,144.04307,140.63172,143.80301,32756257
2017-03-29,143.67667,144.48949,143.18392,144.11045,28052786
2017-03-30,144.18205,144.49792,143.49557,143.92936,18701496
2017-03-31,143.71878,144.26628,143.01545,143.65561,18792813
2017-04-03,143.70615,144.11045,143.05757,143.69772,19985714
2017-04-04,143.24288,144.89801,143.15865,144.77167,19429901
2017-04-05,144.21153,145.45815,143.81565,144.02622,27016364
2017-04-06,144.28734,144.51897,143.44503,143.65561,20297314
2017-04-07,143.73142,144.16942,143.25551,143.32711,16672200
2017-04-10,143.59244,143.87461,142.89753,143.15865,16685986
2017-04-11,142.93965,143.33974,140.05474,141.62143,30379377
2017-04-12,141.59195,142.1563,141.01076,141.80253,19879870
2017-04-13,141.91624,142.38793,141.05288,141.05288,17142109
2017-04-17,141.47403,141.88676,140.86336,141.83201,15625065
2017-04-18,141.41086,142.05522,141.11605,141.20028,14064020
2017-04-19,141.88676,142.01311,140.46326,140.68226,16519171
2017-04-20,141.22134,142.91859,141.15817,142.4469,22388887
2017-04-21,142.4469,142.67853,141.85307,142.28265,16630165
2017-04-24,143.49557,143.95042,143.17128,143.63455,17118458
2017-04-25,143.9083,144.91065,143.86619,144.53161,18671989
2017-04-26,144.46422,144.6032,143.36922,143.67667,20016925
2017-04-27,143.91672,144.15257,143.29763,143.79038,14207643
2017-04-28,144.08519,144.29576,143.25551,143.64719,20860359
2017-05-01,145.09174,147.21857,144.96119,146.58684,33527077
2017-05-02,147.55128,148.08194,146.84796,147.51759,44432692
2017-05-03,145.58449,147.49653,144.26628,147.07959,45609582
2017-05-04,146.51945,147.16382,145.79507,146.53209,23346293
2017-05-05,146.77215,148.98742,146.77215,148.96636,27327726
2017-05-08,149.02953,153.69592,149.02953,153.00944,48684136
2017-05-09,153.87701,154.86251,153.43901,154.00336,39031970
2017-05-10,153.62432,153.94861,152.09553,153.24949,25780580
2017-05-11,152.45177,154.05396,152.30497,153.93653,27239428
2017-05-12,154.68729,156.43628,154.65374,156.10075,32430849
2017-05-15,156.01686,156.65019,155.05638,155.69391,25915048
2017-05-16,155.94137,156.06719,154.70826,155.47581,19996232
2017-05-17,153.60938,154.56147,149.70455,150.24561,50679850
2017-05-18,151.26061,153.34933,151.14317,152.54824,33568216
2017-05-19,153.39128,153.97008,152.61954,153.05574,26888527
2017-05-22,153.98686,154.56985,152.90055,153.97847,22934396
2017-05-23,154.897,154.897,153.31578,153.81909,19908956
2017-05-24,153.85264,154.15043,152.66148,153.34933,19206944
2017-05-25,153.74779,154.34337,153.02218,153.88619,19219080
2017-05-26,153.98686,154.22593,153.31578,153.62196,21892000
2017-05-30,153.43322,154.42725,153.34095,153.68487,20119007
2017-05-31,153.9575,154.15043,152.38047,152.74536,24455801
2017-06-01,153.17318,153.34095,152.22109,153.18156,16384407
2017-06-02,153.60099,155.46322,152.88377,155.46322,27704229
2017-06-05,154.33078,154.44403,153.47516,153.92814,25284643
2017-06-06,153.89458,155.80715,153.80231,154.44403,26593990
2017-06-07,155.02283,155.98331,154.46919,155.37934,21020367
2017-06-08,155.25351,155.54711,154.3937,154.98928,21146644
2017-06-09,155.1906,155.1906,146.02621,148.97056,64788622
2017-06-12,145.74101,146.09751,142.49887,145.41386,72202820
2017-06-13,147.15446,147.44386,145.14543,146.6134,34096538
2017-06-14,147.49419,147.49419,143.82844,145.14543,31455994
2017-06-15,143.31674,144.47854,142.20527,144.30239,31662422
2017-06-16,143.77811,144.49532,142.19269,142.26819,50267759
2017-06-19,143.65228,146.75601,143.65228,146.34917,32466320
2017-06-20,146.87764,146.87764,144.93571,145.00702,24886169
2017-06-21,145.52291,146.07654,144.60018,145.87522,21265752
2017-06-22,145.77456,146.72665,145.11187,145.63615,19086116
2017-06-23,145.12026,147.15446,145.10348,146.28626,35423678
2017-06-26,147.16285,148.28271,145.37191,145.82489,25679184
2017-06-27,145.00702,146.16882,143.61034,143.72778,24731397
2017-06-28,144.48693,146.11849,143.15736,145.83328,22056059
2017-06-29,144.70084,145.12026,142.27657,143.67325,31454523
2017-06-30,144.44499,144.95249,143.77811,144.02137,23004120
2017-07-03,144.86861,145.28803,143.09864,143.4929,14277847
2017-07-05,143.68583,144.78472,142.72116,144.09267,21551200
2017-07-06,143.01476,143.4929,142.41498,142.72116,24110717
2017-07-07,142.89732,144.74278,142.89732,144.18914,18719096
2017-07-10,144.11365,145.95072,143.36707,145.06154,21080738
2017-07-11,144.726,145.85844,144.38627,145.53129,19722787
2017-07-12,145.87522,146.1814,144.81828,145.74101,24863461
2017-07-13,145.49774,148.47984,145.43902,147.76682,25081481
2017-07-14,147.96395,149.33546,147.32223,149.03767,20117228
2017-07-17,148.80279,150.91668,148.56372,149.56614,23770581
2017-07-18,149.20544,150.12397,148.66019,150.08203,17850367
2017-07-19,150.47209,151.41999,149.94362,151.02993,20910669
2017-07-20,151.49129,151.73875,150.1785,150.33788,17200437
2017-07-21,149.98556,150.43015,148.8699,150.26238,25121232
2017-07-24,150.58114,152.43919,149.90168,152.09526,21469192
2017-07-25,151.80166,153.85264,151.80166,152.73278,18830023
